feature,mean_importance,std_importance,max_importance,min_importance,horizons,total_observations,stability_score,horizon_coverage,robustness_score,feature_group,horizon,dominant_horizon_type,robust_rank,stable_feature,high_importance_feature,cross_horizon_feature,noisy_feature,selected
astro_bullish_score_smooth,0.0040127336710993,1.999036658682678e-05,0.0040268689948713,0.0039985983473274,2.0,2.0,191.1702520535148,0.3333333333333333,66.99452664553195,bullish,3.0,timing,61.0,False,False,False,False,True
astro_momentum_v2_smooth_chg_30,0.0052783097008857,3.928736476644083e-05,0.0053060900629271,0.0052505293388445,2.0,2.0,131.0165043428853,0.3333333333333333,45.94122117722355,other,7.0,timing,62.0,False,False,False,False,True
astro_bearish_score_smooth_sma_30,0.0047116781306659,9.369936661860536e-05,0.0047779335881949,0.0046454226731371,2.0,2.0,49.75406171027449,0.3333333333333333,17.49913960318167,bearish,60.0,macro,63.0,False,False,False,False,True
astro_momentum_v2_smooth_sma_60,0.0050134231567824,0.0001435999155038,0.005114963630813,0.0049118826827518,2.0,2.0,34.67099644776971,0.3333333333333333,12.220187459315444,other,30.0,swing,64.0,False,False,False,False,True
astro_bearish_score_smooth_chg_30,0.0052098255571432,0.0001993839549053,0.0053450051851957,0.0049808392976996,3.0,3.0,25.99921515475173,0.5,9.226809234385964,bearish,14.0,swing,65.0,False,False,False,False,True
astro_bullish_score_roll_max_3,0.0044353142586115,0.0001886171039861,0.0045686866918879,0.0043019418253352,2.0,2.0,23.39089757924121,0.3333333333333333,8.271921611771203,bullish,7.0,timing,66.0,False,False,False,False,True
astro_bullish_score_smooth_chg_21,0.0044078994259367,0.0002250399131787,0.0045670266745831,0.0042487721772905,2.0,2.0,19.500535829934517,0.3333333333333333,6.910284033580788,bullish,14.0,swing,67.0,False,False,False,False,True
astro_reversal_score_ema_30,0.0040222976241408,0.0002078656721071,0.0041692808504637,0.0038753143978179,2.0,2.0,19.257820509999213,0.3333333333333333,6.825179430882713,reversal,7.0,timing,68.0,False,False,False,False,True
astro_bullish_score_roll_max_5,0.004805739084312,0.0002557766563772,0.0049866004925056,0.0046248776761185,2.0,2.0,18.715638532391463,0.3333333333333333,6.635729115304071,bullish,7.0,timing,69.0,False,False,False,False,True
astro_bearish_score_smooth_roll_min_21,0.0057208594597841,0.0003160873941247,0.0059443669996173,0.0054973519199509,2.0,2.0,18.041901273228348,0.3333333333333333,6.400287122747168,bearish,60.0,macro,70.0,False,False,False,False,True
