variant_key,constructive_drift,high_conviction_expansion,recovery_reversal_setup,transition_low_conviction,volatility_caution,total_return,CAGR,max_drawdown,Sharpe ratio,Sortino ratio,annual_volatility,win_rate,exposure_ratio,turnover,number_of_allocation_changes,return_max_drawdown_ratio,return_capture_ratio_vs_buy_hold,drawdown_improvement_points,overfit_risk,rank_sharpe,rank_sortino,rank_return_drawdown,rank_total_return
GRID_001,70.0,90.0,75.0,30.0,0.0,6.77562496839706,0.3195146526752277,-0.3579973363241995,1.2390543648109094,1.5743229289183016,0.24869952232065223,0.4111111111111111,0.36177777777777775,71.05,384,18.92646754852139,0.3560719580279446,0.4083483007614913,Low,6.0,26.0,25.0,73.0
GRID_037,70.0,100.0,75.0,30.0,0.0,6.77562496839706,0.3195146526752277,-0.3579973363241995,1.2390543648109094,1.5743229289183016,0.24869952232065223,0.4111111111111111,0.36177777777777775,71.05,384,18.92646754852139,0.3560719580279446,0.4083483007614913,Low,6.0,26.0,25.0,73.0
GRID_146,90.0,90.0,75.0,30.0,10.0,9.823798785850856,0.37985296992309125,-0.44110865482663164,1.2381362496848893,1.670100817819547,0.2951089278258813,0.5014814814814815,0.4285555555555555,92.45,433,22.270700604847327,0.516259280179433,0.32523698225905917,Low,7.0,1.0,4.0,12.0
GRID_182,90.0,100.0,75.0,30.0,10.0,9.823798785850856,0.37985296992309125,-0.44110865482663164,1.2381362496848893,1.670100817819547,0.2951089278258813,0.5014814814814815,0.4285555555555555,92.45,433,22.270700604847327,0.516259280179433,0.32523698225905917,Low,7.0,1.0,4.0,12.0
GRID_097,80.0,90.0,100.0,30.0,0.0,8.310869556491236,0.35205116077319354,-0.4037489976841596,1.2374918546032285,1.5617565211954187,0.27400109937669537,0.4111111111111111,0.39227777777777784,82.95,381,20.584248144666784,0.43675197634126983,0.3625966394015312,Low,8.0,29.0,12.0,44.0
GRID_133,80.0,100.0,100.0,30.0,0.0,8.310869556491236,0.35205116077319354,-0.4037489976841596,1.2374918546032285,1.5617565211954187,0.27400109937669537,0.4111111111111111,0.39227777777777784,82.95,381,20.584248144666784,0.43675197634126983,0.3625966394015312,Low,8.0,29.0,12.0,44.0
GRID_158,90.0,90.0,85.0,30.0,10.0,9.821739632382956,0.3798174798701357,-0.44110865482663264,1.2348712627134735,1.6666264389361611,0.29610256170451565,0.5014814814814815,0.4308888888888888,92.45,433,22.26603247275472,0.5161510677546581,0.32523698225905817,Low,9.0,2.0,5.0,13.0
GRID_194,90.0,100.0,85.0,30.0,10.0,9.821739632382956,0.3798174798701357,-0.44110865482663264,1.2348712627134735,1.6666264389361611,0.29610256170451565,0.5014814814814815,0.4308888888888888,92.45,433,22.26603247275472,0.5161510677546581,0.32523698225905817,Low,9.0,2.0,5.0,13.0
GRID_013,70.0,90.0,85.0,30.0,0.0,6.774145709087492,0.3194807145340488,-0.35799733632419994,1.2342654856408624,1.569091283907306,0.24987793579558706,0.4111111111111111,0.36411111111111105,72.05,385,18.922335508532587,0.35599422014232585,0.40834830076149087,Low,10.0,28.0,26.0,74.0
GRID_049,70.0,100.0,85.0,30.0,0.0,6.774145709087492,0.3194807145340488,-0.35799733632419994,1.2342654856408624,1.569091283907306,0.24987793579558706,0.4111111111111111,0.36411111111111105,72.05,385,18.922335508532587,0.35599422014232585,0.40834830076149087,Low,10.0,28.0,26.0,74.0
