indicator,span,long_threshold,short_threshold,mode,total_return,buy_hold_return,max_drawdown,buy_hold_max_drawdown,sharpe_like,return_drawdown_ratio,number_of_trades,balanced_score
astro_reversal_score,30,0.5,-1.5,long_short_balanced_v2,121.10399050888486,169.68246816461956,-0.8339900882218972,-0.8339900882218972,0.9731168595089001,145.21034748396565,17,64.4775282609293
astro_trend_end_score,3,0.5,-0.5,long_short_balanced_v2,96.2738362148478,169.68246816461956,-0.7471483389645481,-0.8339900882218972,1.0139472159365783,128.8550495183741,50,53.83801714605697
astro_trend_end_score,3,0.5,-1.0,long_short_balanced_v2,96.2738362148478,169.68246816461956,-0.7471483389645481,-0.8339900882218972,1.0139472159365783,128.8550495183741,50,53.83801714605697
astro_trend_end_score,3,0.5,-1.5,long_short_balanced_v2,96.2738362148478,169.68246816461956,-0.7471483389645481,-0.8339900882218972,1.0139472159365783,128.8550495183741,50,53.83801714605697
astro_reversal_score,30,1.0,-0.5,long_short_balanced_v2,85.09241283478843,169.68246816461956,-0.8339900882218974,-0.8339900882218972,0.9650306233844506,102.03048457831089,29,45.010847883119645
astro_reversal_score,30,1.0,-1.0,long_short_balanced_v2,85.09241283478843,169.68246816461956,-0.8339900882218974,-0.8339900882218972,0.9650306233844506,102.03048457831089,29,45.010847883119645
astro_reversal_score,30,1.0,-1.5,long_short_balanced_v2,85.09241283478843,169.68246816461956,-0.8339900882218974,-0.8339900882218972,0.9650306233844506,102.03048457831089,29,45.010847883119645
astro_reversal_score,30,1.0,-2.0,long_short_balanced_v2,85.09241283478843,169.68246816461956,-0.8339900882218974,-0.8339900882218972,0.9650306233844506,102.03048457831089,29,45.010847883119645
astro_trend_end_score,5,0.5,-0.5,long_short_balanced_v2,70.50923836629164,169.68246816461956,-0.7494491599075135,-0.8339900882218972,0.9612991075173396,94.08141624308833,44,39.14140066165082
astro_trend_end_score,5,0.5,-1.0,long_short_balanced_v2,70.50923836629164,169.68246816461956,-0.7494491599075135,-0.8339900882218972,0.9612991075173396,94.08141624308833,44,39.14140066165082
astro_trend_end_score,5,0.5,-1.5,long_short_balanced_v2,70.50923836629164,169.68246816461956,-0.7494491599075135,-0.8339900882218972,0.9612991075173396,94.08141624308833,44,39.14140066165082
astro_volatility_score,3,0.5,-0.5,long_short_balanced_v2,68.74874395885098,169.68246816461956,-0.8148250427163414,-0.8339900882218972,0.9026029074011678,84.37239941677142,96,36.445906669895535
astro_volatility_score,3,0.5,-1.0,long_short_balanced_v2,68.74874395885098,169.68246816461956,-0.8148250427163414,-0.8339900882218972,0.9026029074011678,84.37239941677142,96,36.445906669895535
astro_volatility_score,3,0.5,-1.5,long_short_balanced_v2,68.74874395885098,169.68246816461956,-0.8148250427163414,-0.8339900882218972,0.9026029074011678,84.37239941677142,96,36.445906669895535
astro_bearish_score,10,0.5,-0.5,long_short_balanced_v2,62.817720629667996,169.68246816461956,-0.779226013760995,-0.8339900882218972,0.9622292493426136,80.61553326033531,57,34.07047552006301
astro_bearish_score,10,0.5,-1.0,long_short_balanced_v2,62.817720629667996,169.68246816461956,-0.779226013760995,-0.8339900882218972,0.9622292493426136,80.61553326033531,57,34.07047552006301
astro_bearish_score,10,0.5,-1.5,long_short_balanced_v2,62.817720629667996,169.68246816461956,-0.779226013760995,-0.8339900882218972,0.9622292493426136,80.61553326033531,57,34.07047552006301
astro_bearish_score,21,0.5,-0.5,long_short_balanced_v2,60.95793306879205,169.68246816461956,-0.7439719164979178,-0.8339900882218972,0.9573990882498584,81.93579853892598,41,33.859541388975885
astro_bearish_score,21,0.5,-1.0,long_short_balanced_v2,60.95793306879205,169.68246816461956,-0.7439719164979178,-0.8339900882218972,0.9573990882498584,81.93579853892598,41,33.859541388975885
astro_bearish_score,21,0.5,-1.5,long_short_balanced_v2,60.95793306879205,169.68246816461956,-0.7439719164979178,-0.8339900882218972,0.9573990882498584,81.93579853892598,41,33.859541388975885
astro_reversal_score,3,1.0,-0.5,long_short_balanced_v2,59.66403754640434,169.68246816461956,-0.7184977427281793,-0.8339900882218972,0.9304329756516897,83.03997910954651,87,33.62763366199901
astro_reversal_score,3,1.0,-1.0,long_short_balanced_v2,59.66403754640434,169.68246816461956,-0.7184977427281793,-0.8339900882218972,0.9304329756516897,83.03997910954651,87,33.62763366199901
astro_reversal_score,3,1.0,-1.5,long_short_balanced_v2,59.66403754640434,169.68246816461956,-0.7184977427281793,-0.8339900882218972,0.9304329756516897,83.03997910954651,87,33.62763366199901
astro_reversal_score,3,1.0,-2.0,long_short_balanced_v2,59.66403754640434,169.68246816461956,-0.7184977427281793,-0.8339900882218972,0.9304329756516897,83.03997910954651,87,33.62763366199901
astro_volatility_score,21,0.5,-0.5,long_short_balanced_v2,60.13980669445556,169.68246816461956,-0.8339900882218974,-0.8339900882218972,0.880372507309957,72.1109369808893,36,31.493293275105664
astro_volatility_score,21,0.5,-1.0,long_short_balanced_v2,60.13980669445556,169.68246816461956,-0.8339900882218974,-0.8339900882218972,0.880372507309957,72.1109369808893,36,31.493293275105664
astro_volatility_score,21,0.5,-1.5,long_short_balanced_v2,60.13980669445556,169.68246816461956,-0.8339900882218974,-0.8339900882218972,0.880372507309957,72.1109369808893,36,31.493293275105664
astro_trend_end_score,8,0.5,-0.5,long_short_balanced_v2,52.92726502324721,169.68246816461956,-0.7286880376544802,-0.8339900882218972,0.9072692114140108,72.63364058179252,38,29.59878325141655
astro_trend_end_score,8,0.5,-1.0,long_short_balanced_v2,52.92726502324721,169.68246816461956,-0.7286880376544802,-0.8339900882218972,0.9072692114140108,72.63364058179252,38,29.59878325141655
astro_trend_end_score,8,0.5,-1.5,long_short_balanced_v2,52.92726502324721,169.68246816461956,-0.7286880376544802,-0.8339900882218972,0.9072692114140108,72.63364058179252,38,29.59878325141655
astro_bearish_score,14,0.5,-0.5,long_short_balanced_v2,54.00648066491994,169.68246816461956,-0.7988107252462568,-0.8339900882218972,0.9363321399057641,67.60860734346157,45,28.809982436261215
astro_bearish_score,14,0.5,-1.0,long_short_balanced_v2,54.00648066491994,169.68246816461956,-0.7988107252462568,-0.8339900882218972,0.9363321399057641,67.60860734346157,45,28.809982436261215
astro_bearish_score,14,0.5,-1.5,long_short_balanced_v2,54.00648066491994,169.68246816461956,-0.7988107252462568,-0.8339900882218972,0.9363321399057641,67.60860734346157,45,28.809982436261215
astro_reversal_score,8,1.0,-0.5,long_short_balanced_v2,51.45473237395844,169.68246816461956,-0.7703231237133547,-0.8339900882218972,0.9036831682999897,66.79629728096451,61,27.8796677501304
astro_reversal_score,8,1.0,-1.0,long_short_balanced_v2,51.45473237395844,169.68246816461956,-0.7703231237133547,-0.8339900882218972,0.9036831682999897,66.79629728096451,61,27.8796677501304
astro_reversal_score,8,1.0,-1.5,long_short_balanced_v2,51.45473237395844,169.68246816461956,-0.7703231237133547,-0.8339900882218972,0.9036831682999897,66.79629728096451,61,27.8796677501304
astro_reversal_score,8,1.0,-2.0,long_short_balanced_v2,51.45473237395844,169.68246816461956,-0.7703231237133547,-0.8339900882218972,0.9036831682999897,66.79629728096451,61,27.8796677501304
astro_volatility_score,5,1.0,-0.5,long_short_balanced_v2,46.81446027974702,169.68246816461956,-0.7268033840160986,-0.8339900882218972,0.8837114638100382,64.4114506196494,124,25.941907717353853
astro_volatility_score,5,1.0,-1.0,long_short_balanced_v2,46.81446027974702,169.68246816461956,-0.7268033840160986,-0.8339900882218972,0.8837114638100382,64.4114506196494,124,25.941907717353853
astro_volatility_score,5,1.0,-1.5,long_short_balanced_v2,46.81446027974702,169.68246816461956,-0.7268033840160986,-0.8339900882218972,0.8837114638100382,64.4114506196494,124,25.941907717353853
astro_volatility_score,5,1.0,-2.0,long_short_balanced_v2,46.81446027974702,169.68246816461956,-0.7268033840160986,-0.8339900882218972,0.8837114638100382,64.4114506196494,124,25.941907717353853
astro_bearish_score,5,0.5,-0.5,long_short_balanced_v2,47.722287961979994,169.68246816461956,-0.770123210853547,-0.8339900882218972,0.9142278983530955,61.96708174668334,93,25.734609080991586
astro_bearish_score,5,0.5,-1.0,long_short_balanced_v2,47.722287961979994,169.68246816461956,-0.770123210853547,-0.8339900882218972,0.9142278983530955,61.96708174668334,93,25.734609080991586
astro_bearish_score,5,0.5,-1.5,long_short_balanced_v2,47.722287961979994,169.68246816461956,-0.770123210853547,-0.8339900882218972,0.9142278983530955,61.96708174668334,93,25.734609080991586
astro_volatility_score,3,1.0,-0.5,long_short_balanced_v2,45.62353214154227,169.68246816461956,-0.6972191254663461,-0.8339900882218972,0.8822183536137868,65.43643235693835,178,25.725404767096343
astro_volatility_score,3,1.0,-1.0,long_short_balanced_v2,45.62353214154227,169.68246816461956,-0.6972191254663461,-0.8339900882218972,0.8822183536137868,65.43643235693835,178,25.725404767096343
astro_volatility_score,3,1.0,-1.5,long_short_balanced_v2,45.62353214154227,169.68246816461956,-0.6972191254663461,-0.8339900882218972,0.8822183536137868,65.43643235693835,178,25.725404767096343
astro_volatility_score,3,1.0,-2.0,long_short_balanced_v2,45.62353214154227,169.68246816461956,-0.6972191254663461,-0.8339900882218972,0.8822183536137868,65.43643235693835,178,25.725404767096343
astro_bearish_score,8,0.5,-0.5,long_short_balanced_v2,44.87872831496765,169.68246816461956,-0.7747708922488784,-0.8339900882218972,0.9050721649539177,57.92516053965451,67,24.11452313002945
astro_bearish_score,8,0.5,-1.0,long_short_balanced_v2,44.87872831496765,169.68246816461956,-0.7747708922488784,-0.8339900882218972,0.9050721649539177,57.92516053965451,67,24.11452313002945
astro_bearish_score,8,0.5,-1.5,long_short_balanced_v2,44.87872831496765,169.68246816461956,-0.7747708922488784,-0.8339900882218972,0.9050721649539177,57.92516053965451,67,24.11452313002945
astro_compression_score,5,0.5,-0.5,long_short_balanced_v2,41.4547070567222,169.68246816461956,-0.750065269810741,-0.8339900882218972,0.9896421464028597,55.26813295485897,61,22.63879766183349
astro_compression_score,5,0.5,-1.0,long_short_balanced_v2,41.4547070567222,169.68246816461956,-0.750065269810741,-0.8339900882218972,0.9896421464028597,55.26813295485897,61,22.63879766183349
