feature_set,horizon_days,min_hold_days,regime_filter_mode,trend_confirmation_mode,volatility_filter_mode,reversal_filter_mode,long_probability_threshold,short_probability_threshold,threshold_source,signal_quality_entry_threshold,total_return,max_drawdown,sharpe_like,return_drawdown_ratio,balanced_score,number_of_trades,long_signal_days,short_signal_days,flat_signal_days,avg_signal_quality_score,abs_avg_signal_quality_score,avg_ml_quality_component,avg_momentum_quality_component,avg_trend_quality_component,avg_regime_quality_component,avg_reversal_penalty_component,avg_volatility_penalty_component,avg_compression_penalty_component,prediction_start,prediction_end,overall_rank,rank_within_horizon
selected_features,7,7,soft,none,none,none,0.52,0.35,tuned,1.15,834.1941510664775,-0.5936473235146495,1.5609174615830672,1405.2015700629904,530.7148212897021,194,1904,234,1372,1.5390536286059762,2.0202108543441826,0.8761898916193999,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,11,7
selected_features,7,3,strict,none,none,none,0.52,0.35,tuned,1.15,785.8499364565251,-0.5462571010810124,1.5563742022910618,1438.6081845002504,522.8645274314582,237,1850,241,1419,1.5708381366488766,2.082356080639114,0.8761898916193999,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,12,8
selected_features,7,14,none,none,none,none,0.52,0.35,tuned,1.15,813.979437013345,-0.6164578543127825,1.5343833986981084,1320.4137660323208,507.755046182121,144,2020,252,1238,1.514573024701901,1.9775483874304174,0.8761898916193999,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,13,9
selected_features,90,14,soft,none,none,soft,0.52,0.35,tuned,1.15,915.7022572205796,-0.8462364767784586,1.4637417277367892,1082.087906097561,490.3327723944209,125,2263,497,750,1.8109530149141642,2.3629083649993587,1.143048567768042,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,14,5
selected_features,7,14,soft,none,none,soft,0.52,0.35,tuned,1.15,774.6155418698963,-0.6295148810917695,1.5569951043368344,1230.4959980079873,477.9559168477195,143,1953,177,1380,1.45583593108758,1.815322736410154,0.8761898916193999,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,15,10
selected_features,7,14,strict,none,none,none,0.52,0.35,tuned,1.15,756.2077630592761,-0.6041126840656998,1.48625477126762,1251.766074451493,476.652592122943,164,2076,344,1090,1.5708381366488766,2.082356080639114,0.8761898916193999,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,16,11
selected_features,90,14,soft,strict,none,soft,0.52,0.35,tuned,1.15,891.977108275198,-0.875340301214476,1.4490924143449826,1019.0061020127139,470.55935985360486,124,2390,434,686,2.219085139302637,2.6879256763424206,1.143048567768042,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,17,6
selected_features,7,7,strict,none,none,none,0.52,0.35,tuned,1.15,714.6627311062514,-0.5641140464590699,1.5113647214405526,1266.8763268565494,467.18991979761563,204,1960,276,1274,1.5708381366488766,2.082356080639114,0.8761898916193999,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,18,12
selected_features,7,14,soft,none,none,none,0.52,0.35,tuned,1.15,728.253493140181,-0.5936319604262223,1.4952137732286035,1226.7760863436356,463.3025500808787,155,2016,303,1191,1.5390536286059762,2.0202108543441826,0.8761898916193999,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,19,13
selected_features,90,14,soft,strict,soft,none,0.52,0.35,tuned,1.15,855.3245503248288,-0.8617103895734056,1.4391546266708077,992.5893440234158,454.30380003449983,119,2388,459,663,2.235029254941954,2.745816223117801,1.143048567768042,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,20,7
