variant_key,variant_label,year,strategy,total_return,CAGR,max_drawdown,Sharpe ratio,Sortino ratio,annual_volatility,win_rate,exposure_ratio,turnover,number_of_allocation_changes,return_max_drawdown_ratio
F_Balanced_v2,Balanced v2,2021,Allocation Strategy,0.7005879473850687,0.7005879473850687,-0.31623795834859625,1.4303807048525947,2.1359900488477694,0.4384293347271967,0.5123287671232877,0.5010958904109588,9.6,67,2.2153822110525856
F_Balanced_v2,Balanced v2,2021,Buy & Hold,0.5966792379843284,0.5966792379843284,-0.5306185040984173,0.983864801419826,1.5210959895220248,0.8030283847010404,0.5123287671232877,1.0,0.0,0,1.1244976068035095
F_Balanced_v2,Balanced v2,2022,Allocation Strategy,-0.40748963943579786,-0.40748963943579786,-0.4424796258825866,-1.4401904129583498,-1.6993982270436334,0.3259484537772457,0.4657534246575342,0.4594520547945205,11.3,74,-0.9209229433400546
F_Balanced_v2,Balanced v2,2022,Buy & Hold,-0.6426524216644376,-0.6426524216644376,-0.6689381539248924,-1.2982244976361634,-1.6748235424353288,0.6345372157572284,0.4657534246575342,1.0,0.0,0,-0.9607052877665486
F_Balanced_v2,Balanced v2,2023,Allocation Strategy,0.6788880835358457,0.6788880835358457,-0.12355901696887095,2.4601851103039625,4.305950650691764,0.22044276518147907,0.4986301369863014,0.3301369863013698,5.9,47,5.494443871359729
F_Balanced_v2,Balanced v2,2023,Buy & Hold,1.554174194122552,1.554174194122552,-0.2005777334291322,2.3637427790985868,3.984779385226617,0.4370562773431199,0.4986301369863014,1.0,0.0,0,7.748488167415005
F_Balanced_v2,Balanced v2,2024,Allocation Strategy,0.25871624788634406,0.2579251824170934,-0.2157612780010283,0.9402753252755708,1.2783688896703234,0.28821775284475387,0.5218579234972678,0.49999999999999994,11.100000000000001,47,1.1990856296518184
F_Balanced_v2,Balanced v2,2024,Buy & Hold,1.21054746592571,1.2057616836679736,-0.26182033008476613,1.745606375102204,2.905598250410992,0.5347703246111739,0.5218579234972678,1.0,0.0,0,4.623580856130565
F_Balanced_v2,Balanced v2,2025,Allocation Strategy,0.21606155762264923,0.21606155762264923,-0.1654796680354802,0.9058881551445569,1.4949737785635901,0.25023787020446725,0.4986301369863014,0.5812328767123287,10.55,43,1.3056683046785171
F_Balanced_v2,Balanced v2,2025,Buy & Hold,-0.06336749968935496,-0.06336749968935496,-0.3214698048461443,0.05276454068227213,0.07734213273556449,0.41863119762474554,0.4986301369863014,1.0,0.0,0,-0.19711804572028993
F_Balanced_v2,Balanced v2,2026,Allocation Strategy,-0.05796737113163408,-0.1413727128387552,-0.23997585679792366,-0.28365967134231307,-0.39803057948747866,0.336711449214924,0.48951048951048953,0.723776223776224,5.65,35,-0.24155501267965734
F_Balanced_v2,Balanced v2,2026,Buy & Hold,-0.12030446928122318,-0.27903972824518386,-0.35311531742601765,-0.38043148271428834,-0.5165109858268457,0.5122147247675745,0.48951048951048953,1.0,0.0,0,-0.3406945644787232
